"Controller","Method","Path","Key"
"ChatController","DELETE","/api/chat/conversations/{id}","DELETE /api/chat/conversations/{id}"
"ClassController","DELETE","/api/class/{id}","DELETE /api/class/{id}"
"ExamController","DELETE","/api/exam/{id}","DELETE /api/exam/{id}"
"MajorController","DELETE","/api/major/{id}","DELETE /api/major/{id}"
"NotificationController","DELETE","/api/notification/{id}","DELETE /api/notification/{id}"
"NotificationController","DELETE","/api/notification/batch","DELETE /api/notification/batch"
"PaperController","DELETE","/api/paper/{id}","DELETE /api/paper/{id}"
"QuestionController","DELETE","/api/question/{id}","DELETE /api/question/{id}"
"QuestionController","DELETE","/api/question/batch","DELETE /api/question/batch"
"SubjectController","DELETE","/api/subject/{id}","DELETE /api/subject/{id}"
"TemplateController","DELETE","/api/template/{id}","DELETE /api/template/{id}"
"UserController","DELETE","/api/user/{id}","DELETE /api/user/{id}"
"WrongController","DELETE","/api/wrong/{answerId}","DELETE /api/wrong/{answerId}"
"AuthController","GET","/api/auth/captcha","GET /api/auth/captcha"
"AuthController","GET","/api/auth/info","GET /api/auth/info"
"ChatController","GET","/api/chat/contacts","GET /api/chat/contacts"
"ChatController","GET","/api/chat/conversations","GET /api/chat/conversations"
"ChatController","GET","/api/chat/conversations/{id}/messages","GET /api/chat/conversations/{id}/messages"
"ChatController","GET","/api/chat/messages/{id}/recall-draft","GET /api/chat/messages/{id}/recall-draft"
"ChatController","GET","/api/chat/messages/incremental","GET /api/chat/messages/incremental"
"ChatController","GET","/api/chat/online-status/{userId}","GET /api/chat/online-status/{userId}"
"ChatController","GET","/api/chat/unread-count","GET /api/chat/unread-count"
"ClassController","GET","/api/class/{id}","GET /api/class/{id}"
"ClassController","GET","/api/class/all","GET /api/class/all"
"ClassController","GET","/api/class/list","GET /api/class/list"
"ClassController","GET","/api/class/my","GET /api/class/my"
"ClassController","GET","/api/class/students/{classId}","GET /api/class/students/{classId}"
"DashboardController","GET","/api/dashboard/admin","GET /api/dashboard/admin"
"DashboardController","GET","/api/dashboard/student","GET /api/dashboard/student"
"DashboardController","GET","/api/dashboard/student-trend","GET /api/dashboard/student-trend"
"DashboardController","GET","/api/dashboard/teacher","GET /api/dashboard/teacher"
"ExamController","GET","/api/exam/list","GET /api/exam/list"
"ExamController","GET","/api/exam/records/{examId}","GET /api/exam/records/{examId}"
"MajorController","GET","/api/major/all","GET /api/major/all"
"MajorController","GET","/api/major/list","GET /api/major/list"
"MarkingController","GET","/api/marking/detail/{recordId}","GET /api/marking/detail/{recordId}"
"MarkingController","GET","/api/marking/list/{examId}","GET /api/marking/list/{examId}"
